Product ID,Product Name,Product Type,Sellable,Purchasable,Taxable,Type,Attribute,Value
28025216,House Party - Tropical - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025235,House Party - Watermelon - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025256,Country Clouds - Banana Bread - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025270,By The Pound - Coco - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025276,Country Clouds - Chocolate Puddin Pie - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025285,By The Pound - Lemon Berry - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025298,By The Pound - Milk - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025302,Smooth-E Criminal - A-Peel - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025309,By The Pound - Peaches and Cream - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025327,Country Clouds - Corn Bread Pudding/C.B.P. - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025329,Smooth-E Criminal - Adultry - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025341,Smooth-E Criminal - Subpina - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025348,Country Clouds - Lemon Puddin Pie - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025364,Crumbs - Apple Cinnamon Muffin - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025369,Smooth-E Criminal - Usual Suspects - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025383,Crumbs - Banana Nut Muffin - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025409,Crumbs - Blueberry Muffin - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025444,Crumbs - Strawberry Muffin - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025449,Mr. Cannoli - Cannoli/Little Italy - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025459,Sqeez - Berryade - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025473,Sqeez - Limeade - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025482,Chill - Cool Lime - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025484,Sqeez - Strawberry Lemonade - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025494,Chill - Cool Mango - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025507,Chill - Cool Melon - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
28025519,Chill - Tropi-Cool - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
31653540,Hit That Donut - Boston Cream - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
31653563,Hit That Donut - Strawberry - 60ml,E-Liquid,TRUE,TRUE,7%,Storable Product,attribute_nicotine,"nicotine_3,nicotine_4,nicotine_5"
